first_sample_no,date,location,depth,swc,ctot,ntot,ptot,eoc,en,olsenp,cmic,nmic,pmic,bg,nag,ap
FACE_328,10/13/2016,200_I,5-15,24.44,2.29,0.19,,,,1.38,,,0.71,19.04,83.84,2910.59
FACE_333,10/13/2016,280_I,0-5 ,27.03,3.30,0.25,,,,1.03,,,3.79,44.73,108.49,3041.18
FACE_334,10/13/2016,280_I,5-15,25.01,2.05,0.16,,,,0.67,,,2.19,15.44,45.49,3339.39
FACE_339,10/13/2016,360_I,0-5 ,26.98,3.28,0.25,,,,2.32,,,2.11,27.84,162.27,3394.55
FACE_340,10/13/2016,360_I,5-15,25.09,2.10,0.17,,,,0.95,,,0.71,16.60,103.09,3287.90
FACE_345,10/13/2016,440_I,0-5 ,28.21,5.48,0.32,,,,2.44,,,4.37,36.34,155.50,3375.55
FACE_346,10/13/2016,440_I,5-15,24.08,2.27,0.17,,,,0.72,,,1.24,33.15,96.28,3248.06
FACE_351,11/7/2016,40_I,0-5 ,32.98,6.11,0.36,123.71,749.20,113.05,0.88,963.15,32.23,1.11,32.76,166.30,5076.80
FACE_352,11/7/2016,40_I,5-15,27.48,2.60,0.19,109.24,690.33,86.65,0.76,372.29,17.83,0.10,6.33,11.57,1317.86
FACE_357,11/7/2016,120_I,0-5 ,30.36,5.99,0.36,110.23,710.08,115.58,0.60,861.89,30.75,1.35,35.47,195.69,4935.83
FACE_358,11/7/2016,120_I,5-15,27.95,2.70,0.20,110.69,580.83,93.26,0.27,539.47,39.74,0.35,10.66,22.81,3745.64
FACE_363,11/7/2016,200_I,0-5 ,33.11,5.16,0.33,166.78,530.24,95.21,0.60,872.52,50.76,0.74,30.01,89.23,4183.95
FACE_364,11/7/2016,200_I,5-15,28.67,2.72,0.20,134.71,564.71,87.08,0.51,586.12,29.75,0.21,6.98,21.90,2170.23
FACE_369,11/7/2016,280_I,0-5 ,30.03,3.57,0.28,181.14,523.92,92.73,5.07,695.15,44.92,,26.52,51.75,4244.07
FACE_370,11/7/2016,280_I,5-15,27.58,2.10,0.18,122.92,364.67,81.20,0.82,597.05,21.86,0.16,16.38,16.08,2801.74
FACE_375,11/7/2016,360_I,0-5 ,31.57,4.80,0.33,142.71,581.82,115.13,1.03,775.06,47.48,1.62,29.81,102.34,5579.10
FACE_376,11/7/2016,360_I,5-15,27.47,2.31,0.19,142.71,392.63,85.59,0.43,478.48,30.15,0.49,21.47,19.07,4313.16
FACE_381,11/7/2016,440_I,0-5 ,25.70,4.48,0.29,135.48,412.56,92.84,1.53,438.41,51.45,2.70,25.22,64.73,5340.42
FACE_382,11/7/2016,440_I,5-15,25.35,1.99,0.17,247.74,435.62,90.81,0.31,336.16,24.68,0.36,19.31,39.70,2300.72
FACE_423,1/10/2017,40_I,0-5 ,31.17,4.52,0.30,,,,0.88,,,1.11,18.97,57.58,2470.68
FACE_424,1/10/2017,40_I,5-15,26.22,1.99,0.17,,,,0.76,,,0.50,9.04,15.87,891.37
FACE_429,1/10/2017,120_I,0-5 ,29.00,4.20,0.30,,,,0.60,,,1.35,30.27,62.94,2233.32
FACE_430,1/10/2017,120_I,5-15,26.04,1.83,0.16,,,,0.27,,,0.35,8.66,9.78,1095.78
FACE_435,1/10/2017,200_I,0-5 ,30.18,3.94,0.28,,,,0.60,,,0.74,18.83,56.23,1647.80
FACE_436,1/10/2017,200_I,5-15,26.44,2.19,0.18,,,,0.51,,,0.21,10.93,17.24,1062.27
FACE_441,1/10/2017,280_I,0-5 ,28.86,3.26,0.26,,,,5.07,,,,24.50,43.84,1716.58
FACE_442,1/10/2017,280_I,5-15,25.69,1.84,0.16,,,,0.82,,,0.16,12.34,10.52,1125.68
FACE_447,1/10/2017,360_I,0-5 ,25.93,4.22,0.28,,,,1.03,,,1.62,16.23,89.52,2437.60
FACE_448,1/10/2017,360_I,5-15,26.37,2.36,0.19,,,,0.43,,,0.49,11.55,33.21,2163.64
FACE_453,1/10/2017,440_I,0-5 ,30.17,4.99,0.31,,,,1.53,,,2.70,18.92,121.58,2672.25
FACE_454,1/10/2017,440_I,5-15,23.76,2.00,0.15,,,,0.31,,,0.36,8.77,16.10,1638.29
