sample_no,date,location,depth,swc,ctot,ntot,ptot,eoc,en,olsenp,cmic,nmic,pmic,bg,nag,ap
FACE_233,7/6/2016,360_II,0-5 ,29.37,,,,,,1.99,,,3.28,72.29,286.00,6562.79
FACE_234,7/6/2016,360_II,5-15,26.79,,,,,,0.84,,,2.22,22.94,145.06,4368.26
FACE_235,7/6/2016,360_III,0-5 ,33.91,,,,,,1.94,,,5.37,147.37,215.86,7001.07
FACE_236,7/6/2016,360_III,5-15,28.28,,,,,,1.06,,,3.43,25.02,93.08,4361.33
FACE_237,7/6/2016,440_I,0-5 ,32.96,,,,,,2.02,,,4.63,45.36,309.31,6501.38
FACE_238,7/6/2016,440_I,5-15,28.59,,,,,,1.14,,,2.07,11.41,62.42,3925.88
FACE_239,7/6/2016,440_II,0-5 ,28.58,,,,,,1.29,,,4.25,53.61,468.47,6364.60
FACE_240,7/6/2016,440_II,5-15,26.25,,,,,,1.43,,,2.83,76.14,148.58,2775.57
FACE_241,7/6/2016,440_III,0-5 ,26.27,,,,,,1.32,,,3.99,47.03,206.24,6343.25
FACE_242,7/6/2016,440_III,5-15,25.53,,,,,,1.05,,,1.74,24.71,112.23,4125.23
FACE_243,8/15/2016,40_I,0-5 ,32.35,,,117.19,604.11,127.62,1.33,735.54,48.37,2.06,31.91,169.65,4958.60
FACE_244,8/15/2016,40_I,5-15,27.06,,,108.52,,,0.88,,,,10.51,128.05,6467.88
FACE_245,8/15/2016,40_II,0-5 ,35.99,,,144.32,738.69,153.54,4.75,955.19,46.47,0.34,61.00,331.99,6495.91
FACE_246,8/15/2016,40_II,5-15,26.13,,,104.18,452.62,89.14,1.43,566.81,27.03,,21.82,62.46,2942.26
FACE_247,8/15/2016,40_III,0-5 ,39.20,,,133.48,723.73,162.79,3.07,867.74,49.07,1.86,78.70,427.15,9424.43
FACE_248,8/15/2016,40_III,5-15,27.64,,,102.00,467.55,95.17,0.18,667.65,47.36,0.24,22.59,57.61,2661.56
FACE_249,8/15/2016,120_I,0-5 ,32.02,,,124.79,623.18,125.16,0.61,1294.72,112.04,7.49,40.07,478.83,5586.39
FACE_250,8/15/2016,120_I,5-15,26.58,,,108.52,514.31,103.12,1.12,633.39,44.55,,15.92,92.67,3996.96
FACE_251,8/15/2016,120_II,0-5 ,29.73,,,119.37,590.69,151.18,1.46,715.66,,2.67,59.72,206.93,6298.86
FACE_252,8/15/2016,120_II,5-15,27.48,,,98.75,464.61,95.19,1.07,959.03,90.19,1.44,16.26,48.70,3346.66
FACE_253,8/15/2016,120_III,0-5 ,32.44,,,255.01,644.89,138.29,1.08,1092.53,91.43,2.76,89.37,372.79,7867.61
FACE_254,8/15/2016,120_III,5-15,25.57,,,116.11,499.70,94.43,0.51,527.01,25.70,,29.53,92.54,3940.48
FACE_255,8/15/2016,200_I,0-5 ,35.99,,,151.93,685.95,159.68,4.36,956.36,87.23,3.46,61.52,329.51,7738.91
FACE_256,8/15/2016,200_I,5-15,28.94,,,116.11,446.88,91.65,0.89,565.83,29.62,0.63,19.95,50.48,3490.56
FACE_257,8/15/2016,200_II,0-5 ,33.39,,,136.73,582.16,126.18,2.15,904.44,66.01,6.52,54.40,285.90,6506.07
FACE_258,8/15/2016,200_II,5-15,27.57,,,119.37,476.38,101.72,0.68,576.96,41.71,3.69,16.21,61.44,3943.50
